sciName,comName
Tinamus tao,Gray Tinamou
Tinamus major,Great Tinamou
Tinamus guttatus,White-throated Tinamou
Crypturellus cinereus,Cinereous Tinamou
Crypturellus soui,Little Tinamou
Crypturellus undulatus,Undulated Tinamou
Crypturellus strigulosus,Brazilian Tinamou
Crypturellus duidae,Gray-legged Tinamou
Crypturellus erythropus,Red-legged Tinamou
Crypturellus atrocapillus,Black-capped Tinamou
Crypturellus variegatus,Variegated Tinamou
Crypturellus bartletti,Bartlett's Tinamou
Crypturellus parvirostris,Small-billed Tinamou
Rhynchotus rufescens,Red-winged Tinamou
Anhima cornuta,Horned Screamer
Dendrocygna viduata,White-faced Whistling-Duck
Dendrocygna autumnalis,Black-bellied Whistling-Duck
Oressochen jubatus,Orinoco Goose
Cairina moschata,Muscovy Duck
Amazonetta brasiliensis,Brazilian Teal
Anas platyrhynchos,Mallard
Ortalis guttata,Speckled Chachalaca
Ortalis motmot,Variable Chachalaca
Penelope marail,Marail Guan
Penelope superciliaris,Rusty-margined Guan
Penelope jacquacu,Spix's Guan
Pipile cumanensis,Blue-throated Piping-Guan
Pipile cujubi,Red-throated Piping-Guan
Nothocrax urumutum,Nocturnal Curassow
Mitu tomentosum,Crestless Curassow
Mitu tuberosum,Razor-billed Curassow
Crax alector,Black Curassow
Numida meleagris,Helmeted Guineafowl
Odontophorus gujanensis,Marbled Wood-Quail
Odontophorus stellatus,Starred Wood-Quail
Gallus gallus,Red Junglefowl
Tachybaptus dominicus,Least Grebe
Columba livia,Rock Pigeon
Patagioenas cayennensis,Pale-vented Pigeon
Patagioenas speciosa,Scaled Pigeon
Patagioenas picazuro,Picazuro Pigeon
Patagioenas plumbea,Plumbeous Pigeon
Patagioenas subvinacea,Ruddy Pigeon
Columbina passerina,Common Ground Dove
Columbina minuta,Plain-breasted Ground Dove
Columbina talpacoti,Ruddy Ground Dove
Claravis pretiosa,Blue Ground Dove
Geotrygon montana,Ruddy Quail-Dove
Leptotila verreauxi,White-tipped Dove
Leptotila rufaxilla,Gray-fronted Dove
Zenaida auriculata,Eared Dove
Guira guira,Guira Cuckoo
Crotophaga major,Greater Ani
Crotophaga ani,Smooth-billed Ani
Tapera naevia,Striped Cuckoo
Dromococcyx phasianellus,Pheasant Cuckoo
Dromococcyx pavoninus,Pavonine Cuckoo
Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo
Coccycua minuta,Little Cuckoo
Coccycua cinerea,Ash-colored Cuckoo
Piaya cayana,Squirrel Cuckoo
Piaya melanogaster,Black-bellied Cuckoo
Coccyzus melacoryphus,Dark-billed Cuckoo
Coccyzus americanus,Yellow-billed Cuckoo
Coccyzus euleri,Pearly-breasted Cuckoo
Chordeiles nacunda,Nacunda Nighthawk
Chordeiles pusillus,Least Nighthawk
Chordeiles acutipennis,Lesser Nighthawk
Chordeiles minor,Common Nighthawk
Lurocalis semitorquatus,Short-tailed Nighthawk
Nyctiprogne leucopyga,Band-tailed Nighthawk
Nyctipolus nigrescens,Blackish Nightjar
Nyctidromus albicollis,Common Pauraque
Setopagis parvula,Little Nightjar
